City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
414,Manga,BF,72.61,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
416,Vila Franca Do Campo,PT,76.19,37.7167,-25.4333,Pestana Bahia Praia
419,Pokhara,NP,70.9,28.2333,83.9833,OYO 170 Hotel View Point
420,Kulpahar,IN,80.85,25.3167,79.65,Peetambra Marriage Garden
421,Kasongo-Lunda,CD,73.53,-6.4667,16.8167,
422,Kon Tum,VN,71.06,14.35,108.0,Hoa đà spa- homestay
423,Dharmavaram,IN,73.78,14.4333,77.7167,BALAJI LODGE
424,Big Spring,US,90.05,32.2504,-101.4787,Hampton Inn & Suites Big Spring
425,Apomu,NG,70.9,7.3333,4.1833,"Albirr Charity Foundation, Islamiyyah, Ikire"
426,Tessalit,ML,92.61,20.1986,1.0114,
427,Pitsunda,GE,69.98,43.1592,40.3378,Hotel FREEDOM
428,Panaba,MX,79.99,21.2833,-88.2667,Hotel Don Fernando
429,Fomboni,KM,75.61,-12.28,43.7425,Auberge les abou
431,Magdalena,PH,79.36,14.1999,121.429,Samparada & Gestiada Residences
434,Puerto Escondido,MX,72.43,15.85,-97.0667,Aldea del Bazar Hotel and Spa
436,Sao Joao Da Barra,BR,68.79,-21.6403,-41.0511,Pousada Porto De Canoas
437,Kintampo,GH,70.03,8.0563,-1.7306,Adomaa Memorial Hotel
441,Palmer,US,67.62,42.1584,-72.3287,Wedgewood Motel
442,Nha Trang,VN,78.8,12.25,109.1833,Hanoi Golden Hotel
443,Saint-Paul,RE,69.91,-21.0096,55.2707,Boucan Canot
444,Wanning,CN,79.54,18.8003,110.3967,Paradise Hotel
446,Shangrao,CN,72.14,28.4532,117.9686,Boyue boutique Hotel
447,Praya,CV,77.54,14.9215,-23.5087,LT Aparthotel
449,Nelson Bay,AU,67.08,-32.7167,152.15,Mantra Nelson Bay
450,Luena,AO,70.39,-11.7833,19.9167,Hotel Kandamba
451,Saint-Leu,RE,68.86,-21.15,55.2833,La Caz Oceane
453,Huazhou,CN,81.39,21.6333,110.5833,Feilong Hotel
455,Luanda,AO,70.05,-8.8368,13.2343,EPIC SANA Luanda
457,Veraval,IN,78.96,20.9,70.3667,Lords Inn Somnath
458,Maneromango,TZ,65.03,-7.1988,38.7848,
462,Arraial Do Cabo,BR,68.38,-22.9661,-42.0278,Pousada Porto Praia
463,Katsuura,JP,84.22,35.1333,140.3,Katsuura Hotel Mikazuki
464,Bourbonnais,US,73.9,41.1417,-87.875,Fairfield Inn Kankakee Bourbonnais
466,Aloleng,PH,81.52,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
468,Alenquer,BR,83.71,-1.9417,-54.7383,Detinha Hotel
469,The Valley,AI,83.1,18.217,-63.0578,CeBlue Villas & Beach Resort
472,Bowen,AU,77.07,-20.0167,148.2333,Castle Motor Lodge Motel
473,Varzea Da Palma,BR,82.31,-17.5981,-44.7308,Casa Fernandes
474,Dire,ML,72.61,12.2833,-10.9667,
476,Coruripe,BR,72.95,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
477,Findlay,US,75.33,41.0442,-83.6499,Drury Inn & Suites Findlay
478,Sao Filipe,CV,79.11,14.8961,-24.4956,Hotel Xaguate
479,Basco,PH,82.33,20.4487,121.9702,Nathaniel's Lodge
480,Pandan,PH,81.37,14.0453,124.1694,Bonifacio Lodge
481,Broome,US,67.01,42.2506,-75.833,Chenango Valley State Park
483,Cairns,AU,88.11,-16.9167,145.7667,Mantra Trilogy Cairns
484,San Policarpo,PH,80.65,12.1791,125.5072,Agapita M. Nicart
485,Los Pozos,VE,84.04,8.4518,-62.7268,
486,Mareeba,AU,83.48,-17.0,145.4333,Trinity Plains Tourist Park
487,Sabha,LY,85.19,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
490,Kentau,KZ,69.93,43.5206,68.5094,Safary
491,Nador,MA,70.05,35.174,-2.9287,Hôtel La Giralda
495,Banjar,ID,78.64,-8.19,114.9675,The Hamsa Resort
496,Oranjestad,AW,83.32,12.524,-70.027,Divi Village Golf & Beach Resort
497,Ranong,TH,76.93,9.9658,98.6348,Numsai Khaosuay Resort Ranong
500,Tucurui,BR,84.83,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
503,Marsh Harbour,BS,83.5,26.5412,-77.0636,Abaco Beach Resort
504,Burkburnett,US,94.05,34.0979,-98.5706,Best Western Red River Inn
505,Chipoka,MW,74.34,-13.9933,34.5157,The Cichlids Lodge
506,Muskogee,US,94.35,35.5834,-95.3336,
507,Ixtapa,MX,81.63,20.7,-105.2,hotel la terminal
508,Manggar,ID,78.93,-2.8833,108.2667,Guest Hotel
509,San Quintin,MX,71.94,30.4833,-115.95,Don Eddie's Sport Fishing Center
510,Pacific Grove,US,71.24,36.6177,-121.9166,Lovers Point Inn
514,Wawa,NG,71.69,9.9022,4.4192,
516,Amberley,US,76.95,39.2048,-84.428,Days Inn & Suites by Wyndham Cincinnati
518,Kahului,US,87.82,20.8947,-156.47,Maui Seaside Hotel
519,Turkistan,KZ,69.66,43.0,68.0,
520,Yulara,AU,67.95,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
522,Avera,US,76.55,33.194,-82.5271,
524,Tiznit,MA,66.87,29.5833,-9.5,
526,Batangafo,CF,70.21,7.3008,18.2833,OCHA Office
527,Itupiranga,BR,79.12,-5.1347,-49.3267,Hotel Panorama
530,Komsomolskiy,UZ,65.12,40.4272,71.7189,Ikathouse
531,Kudahuvadhoo,MV,81.66,2.6708,72.8944,Niyama Private Islands Maldives
532,Barcelos,PT,73.85,41.5388,-8.6151,Hotel Do Terço
533,Asfi,MA,71.06,32.2994,-9.2372,Hôtel Abda
535,Akcaabat,TR,69.67,41.0212,39.5715,AKOF APART
536,Sakaiminato,JP,69.73,35.55,133.2333,Italian pasley
537,Houston,US,88.36,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
538,Worthington,US,75.97,40.0931,-83.018,Sheraton Suites Columbus Worthington
540,Kongolo,CD,74.68,-5.3833,27.0,GUEST HOUSE OASIS
541,Talara,PE,65.16,-4.5772,-81.2719,Hostal Oro Negro
542,Sibolga,ID,76.3,1.7427,98.7792,Hotel Syariah CN Darussalam
543,Yen Bai,VN,77.47,21.7,104.8667,AK MOTEL
545,Sur,OM,80.74,22.5667,59.5289,Sur Plaza Hotel
546,Kasangulu,CD,76.03,-4.5911,15.1708,Hôtel le Relais
547,Mildura,AU,68.07,-34.2,142.15,Mercure Hotel Mildura
548,Wukari,NG,69.96,7.85,9.7833,Elimtop
549,Florence,IT,65.88,43.7667,11.25,Hotel Nuova Italia
550,Anage,BR,71.87,-14.6122,-41.1356,Morada feliz
551,Carauari,BR,77.65,-4.8828,-66.8958,Hotel Fellip
552,Chibombo,ZM,69.96,-14.6569,28.0706,Chibombo District Council Guest House
553,Trairi,BR,78.22,-3.2778,-39.2689,janelas do mar
556,Robertsport,LR,77.04,6.7533,-11.3686,Kwepunha Retreat
558,Gorontalo,ID,82.33,0.5412,123.0595,Maqna Hotel by Prasanthi
562,Camacha,PT,67.42,33.0833,-16.3333,Hotel Porto Santo & Spa
563,Belle Fourche,US,87.55,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
564,Samarai,PG,80.89,-10.6167,150.6667,Nuli Sapi
570,Tondano,ID,73.49,1.3038,124.9112,Villa Bella
573,Dehloran,IR,86.11,32.6941,47.2679,کافه گیم استورم
574,Ndjole,GA,73.83,-0.1783,10.7649,Motel Kédyann
575,Portland,US,86.04,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
576,Braganca,BR,77.56,-1.0536,-46.7656,Marujo's Suíte Hotel
577,Keti Bandar,PK,80.6,24.1447,67.4497,Haji laloo memon house
579,Aripuana,BR,78.31,-9.1667,-60.6333,
580,San Patricio,US,87.89,28.017,-97.5169,"Motel 6 Sinton, TX"
581,Angoche,MZ,72.39,-16.2325,39.9086,Guest House HESADA
582,Trinidad,BO,88.9,-14.8333,-64.9,Hotel Piesta
584,Erzin,TR,72.07,36.9559,36.2,Artemis Otel
587,Prainha,BR,83.17,-1.8,-53.48,Casa Rocha
589,Sao Sebastiao,BR,65.17,-23.76,-45.4097,Hotel Recanto dos Pássaros
592,Winslow,US,89.78,35.0242,-110.6974,Best Western Plus Winslow Inn
594,Effingham,US,80.55,32.3669,-81.3332,Countryside Village
596,Lumatil,PH,82.38,5.8747,124.8883,
597,Limulunga,ZM,75.07,-15.0969,23.1376,Acamms Gardens
598,Jalu,LY,79.92,29.0331,21.5482,صاحبة الفخامة
600,Arys,KZ,66.83,42.4252,68.795,Gostinitsa
601,Arkadelphia,US,92.37,34.1209,-93.0538,COLLEGE INN MOTEL
602,Mitchell,US,87.78,43.7094,-98.0298,Kelly Inn & Suites
604,Puerto Madero,MX,75.4,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
607,Portobelo,PA,77.11,9.55,-79.65,Scuba Portobelo
612,Benguela,AO,68.72,-12.5763,13.4055,Hotel Praia Morena
613,Maragogi,BR,74.03,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
615,Jati,PK,79.16,24.3539,68.2671,Cafe Lala Rehan Restaurant
616,Constantine,DZ,71.01,36.365,6.6147,Grand Hotel Cirta
618,Niamey,NE,80.89,13.5137,2.1098,Soluxe Hotel Niamey
622,Eyl,SO,77.65,7.9803,49.8164,Amiin Hotel
623,Muisne,EC,74.79,0.6,-80.0333,Quinta Samay
625,Bouca,CF,68.74,6.5105,18.2733,
628,Sualkuchi,IN,78.78,26.17,91.5709,Silk Route Spa & Resort
629,Guatire,VE,80.2,10.4762,-66.5427,Parque Residencial Canaima I
630,Dillon,US,80.11,34.4166,-79.3712,Dillon Express Inn
631,Lucban,PH,72.82,14.1133,121.5569,Patio Rizal Hotel
632,Pandaria,IN,74.16,22.2333,81.4167,Sonu Rajak
634,Woodward,US,92.43,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
636,Dongli,CN,84.18,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
637,Sikandarpur,IN,79.0,26.05,84.05,Hardev Baba Kothi
640,Sumbe,AO,69.17,-11.2061,13.8437,Hotel Ritz Sumbe
641,Jiwani,PK,79.29,25.05,61.7417,
642,Montemorelos,MX,82.4,25.2,-99.8167,Best Western Bazarell Inn | Hotel | Restaurante | Salón de Eventos | Sala de Juntas | Alberca | Montemorelos | Nuevo León
644,Kununurra,AU,85.98,-15.7667,128.7333,Hotel Kununurra
649,Teknaf,BD,77.59,20.8624,92.3058,Forestry Guesthouse
651,Srivardhan,IN,74.26,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
653,Bima,ID,80.6,-8.4667,118.7167,Lambitu Hotel
654,Bharatpur,IN,81.3,27.2167,77.4833,OYO 22446 Sonar Haveli
657,Corinto,GR,66.88,37.9407,22.9573,Ephira Hotel
658,Christchurch,NZ,69.33,-43.5333,172.6333,The George
660,Zhuhai,CN,87.85,22.2769,113.5678,珠海粤财假日酒店
661,Kalmunai,LK,79.59,7.4167,81.8167,VS Villa
662,Kuching,MY,75.42,1.55,110.3333,Hilton Kuching
666,Sao Paulo De Olivenca,BR,77.2,-3.3783,-68.8725,
668,Totness,SR,80.26,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
671,Sambava,MG,66.99,-14.2667,50.1667,Melrose
672,Belmonte,BR,71.56,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
674,Pochutla,MX,77.83,15.7432,-96.4661,Hotel Posada San Jose
675,Matamoros,MX,89.71,25.5333,-103.25,Quinta Belem
678,Sorrento,IT,67.33,40.626,14.3744,Hilton Sorrento Palace
680,Kawalu,ID,72.12,-7.3817,108.2082,West Jontor
681,Eirunepe,BR,75.2,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
682,Fukue,JP,71.96,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
686,Buraydah,SA,84.65,26.326,43.975,Mövenpick Qassim
687,Morondava,MG,72.52,-20.2833,44.2833,La Case Bambou
688,Korla,CN,68.4,41.7597,86.1469,Gulisitan Hotel
690,Tzucacab,MX,80.71,20.0667,-89.05,Hotel Jabines Centro
