City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
43,Mataura,NZ,-46.1927,168.8643,55.15,70,100,5.77
44,Bredasdorp,ZA,-34.5322,20.0403,50.47,92,22,4.63
45,Nikolayevka,RU,53.1257,47.2041,52.02,80,100,6.08
46,Vila Do Maio,CV,15.1333,-23.2167,79.56,74,26,14.58
47,Yurga,RU,55.7231,84.8861,47.57,90,99,5.5
48,Oranjemund,NA,-28.55,16.4333,51.44,85,0,9.98
49,Razdolnoye,RU,43.55,131.9167,45.01,36,0,11.21
50,Bluff,NZ,-46.6,168.3333,54.66,71,84,7.18
51,Belize,BZ,17.25,-88.75,77.32,89,32,3.44
52,Hermanus,ZA,-34.4187,19.2345,50.81,78,57,4.56
53,Gat,IL,31.61,34.7642,74.39,100,6,1.34
54,Mahajanga,MG,-15.7167,46.3167,69.82,64,0,5.75
55,Mahibadhoo,MV,3.7833,72.9667,81.68,73,100,9.78
56,Jamestown,US,42.097,-79.2353,70.02,75,75,10.36
57,San Cristobal,VE,7.7669,-72.225,67.57,97,99,1.28
58,Sompeta,IN,18.9333,84.6,77.13,92,100,8.08
59,Essau,GM,13.4839,-16.5347,78.93,83,98,6.13
60,Yar-Sale,RU,66.8333,70.8333,37.62,82,84,11.43
61,Pawa,PH,13.1747,123.7328,77.63,93,100,5.23
62,Saldanha,ZA,-33.0117,17.9442,55.33,89,2,8.93
63,Cherskiy,RU,68.75,161.3,41.85,41,55,10.92
64,Luderitz,NA,-26.6481,15.1594,53.2,70,0,16.84
65,Tasiilaq,GL,65.6145,-37.6368,42.96,97,100,2.44
66,East London,ZA,-33.0153,27.9116,59.49,83,100,12.95
67,Lagoa,PT,39.05,-27.9833,73.83,86,25,7.27
68,Chokurdakh,RU,70.6333,147.9167,35.98,57,100,15.17
69,Busselton,AU,-33.65,115.3333,59.11,81,99,13.15
70,Okhotsk,RU,59.3833,143.3,42.57,80,100,13.69
71,Rikitea,PF,-23.1203,-134.9692,72.91,76,14,12.95
72,Porto Novo,BJ,6.4965,2.6036,74.98,90,100,9.62
73,Hobart,AU,-42.8794,147.3294,58.26,62,40,11.5
74,Dunedin,NZ,-45.8742,170.5036,56.8,67,100,3.0
75,Pevek,RU,69.7008,170.3133,32.7,79,98,2.62
76,Port Elizabeth,ZA,-33.918,25.5701,54.32,90,35,4.0
77,Ulundi,ZA,-28.3352,31.4162,57.18,80,100,8.99
78,Mozarlandia,BR,-14.7447,-50.5706,84.43,43,49,2.82
79,Sorong,ID,-0.8833,131.25,81.39,77,73,4.76
80,Rimbey,CA,52.6334,-114.2353,47.23,55,88,16.51
81,New Norfolk,AU,-42.7826,147.0587,57.92,52,74,3.6
82,Thayetmyo,MM,19.3167,95.1833,74.3,92,98,4.81
83,Henties Bay,NA,-22.116,14.2845,52.03,89,0,4.12
84,Ligayan,PH,4.6533,119.4706,84.09,66,96,0.63
85,San Juan De Los Morros,VE,9.9115,-67.3538,72.36,94,91,1.95
86,Plouzane,FR,48.3833,-4.6167,55.45,91,0,5.75
87,Ponta Do Sol,PT,32.6667,-17.1,72.23,86,54,3.04
88,Bilma,NE,18.6853,12.9164,91.4,36,9,7.92
89,Bengkulu,ID,-3.8004,102.2655,74.7,89,94,2.8
90,Cabo San Lucas,MX,22.8909,-109.9124,84.61,79,97,8.01
91,Batagay-Alyta,RU,67.8006,130.4114,26.87,54,5,3.6
92,Tazovskiy,RU,67.4667,78.7,28.13,84,21,10.36
93,Gamba,GA,-2.65,10.0,74.61,89,95,6.85
94,Constitucion,CL,-35.3333,-72.4167,47.91,75,100,14.14
95,Qianguo,CN,45.1171,124.8568,49.84,23,0,7.83
96,Suzuka,JP,34.8833,136.5833,77.05,79,100,22.26
97,Snasa,NO,64.2457,12.3778,45.81,97,46,4.9
